iter	Passed	Remaining
0	3	370
1	9	486
2	11	379
3	13	313
4	15	299
5	17	272
6	19	254
7	20	236
8	22	224
9	23	215
10	25	206
11	26	197
12	28	190
13	37	229
14	38	219
15	40	210
16	41	201
17	42	193
18	43	185
19	44	179
20	46	174
21	47	168
22	48	162
23	49	156
24	50	151
25	51	146
26	52	142
27	53	138
28	54	134
29	55	130
30	56	126
31	57	123
32	58	119
33	60	116
34	61	113
35	62	110
36	63	107
37	64	105
38	65	102
39	66	99
40	67	96
41	67	93
42	68	91
43	69	88
44	70	86
45	71	84
46	72	81
47	73	79
48	74	78
49	76	76
50	77	73
51	78	72
52	79	70
53	79	68
54	80	66
55	81	64
56	83	62
57	85	61
58	87	60
59	88	59
60	89	57
61	90	55
62	91	53
63	92	52
64	93	50
65	94	48
66	95	47
67	96	45
68	97	43
69	98	42
70	99	40
71	100	39
72	101	37
73	102	36
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	19
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	123	6
95	124	5
96	125	3
97	126	2
98	127	1
99	128	0
