iter	Passed	Remaining
0	361	360800
1	368	184062
2	372	123881
3	376	93697
4	380	75665
5	383	63460
6	386	54840
7	392	48624
8	394	43388
9	395	39149
10	397	35694
11	398	32810
12	400	30427
13	402	28370
14	406	26698
15	409	25175
16	411	23789
17	416	22733
18	418	21611
19	422	20721
20	424	19796
21	426	18951
22	427	18170
23	429	17453
24	430	16798
25	432	16187
26	433	15628
27	436	15149
28	438	14670
29	440	14238
30	442	13819
31	443	13412
32	444	13032
33	446	12678
34	447	12339
35	450	12066
36	452	11778
37	453	11485
38	454	11208
39	456	10959
40	458	10717
41	460	10507
42	465	10352
43	467	10153
44	468	9944
45	469	9744
46	471	9551
47	472	9366
48	473	9187
49	474	9017
50	475	8857
51	477	8699
52	479	8574
53	481	8429
54	482	8288
55	483	8156
56	485	8027
57	486	7904
58	488	7786
59	489	7668
60	491	7559
61	492	7453
62	495	7372
63	497	7277
64	498	7175
65	500	7076
66	502	6994
67	504	6915
68	505	6822
69	506	6731
70	509	6663
71	511	6586
72	512	6502
73	513	6420
74	514	6340
75	515	6262
76	516	6185
77	517	6111
78	517	6038
79	519	5971
80	520	5905
81	521	5838
82	522	5768
83	524	5717
84	525	5656
85	526	5595
86	527	5535
87	528	5477
88	529	5419
89	530	5363
90	531	5308
91	532	5254
92	533	5202
93	534	5151
94	535	5100
95	536	5051
96	537	5004
97	539	4967
98	541	4927
99	542	4882
100	543	4837
101	544	4793
102	545	4750
103	546	4707
104	547	4670
105	549	4630
106	550	4590
107	551	4551
108	552	4512
109	554	4487
110	556	4455
111	557	4419
112	558	4382
113	559	4346
114	560	4311
115	561	4277
116	562	4242
117	563	4208
118	563	4175
119	564	4143
120	565	4111
121	566	4079
122	570	4065
123	571	4037
124	572	4009
125	574	3982
126	575	3953
127	576	3927
128	577	3901
129	579	3876
130	580	3850
131	581	3825
132	584	3807
133	585	3783
134	586	3758
135	587	3734
136	589	3710
137	590	3688
138	591	3664
139	592	3640
140	594	3622
141	596	3606
142	599	3592
143	600	3571
144	602	3549
145	603	3529
146	604	3509
147	605	3488
148	607	3469
149	609	3454
150	610	3433
151	611	3412
152	613	3397
153	614	3378
154	616	3358
155	617	3339
156	619	3323
157	620	3308
158	622	3289
159	623	3271
160	623	3250
161	624	3231
162	625	3213
163	626	3195
164	628	3182
165	630	3166
166	631	3150
167	632	3133
168	634	3119
169	636	3109
170	637	3092
171	638	3075
172	640	3059
173	641	3043
174	643	3034
175	645	3019
176	646	3004
177	647	2990
178	651	2985
179	653	2978
180	655	2964
181	656	2949
182	659	2944
183	660	2931
184	662	2917
185	663	2904
186	664	2890
187	667	2885
188	669	2872
189	670	2858
190	671	2844
191	674	2838
192	676	2828
193	677	2815
194	679	2804
195	680	2793
196	683	2784
197	684	2773
198	686	2761
199	687	2750
200	690	2744
201	691	2732
202	693	2723
203	695	2714
204	697	2704
205	698	2692
206	699	2680
207	700	2668
208	704	2665
209	705	2653
210	706	2642
211	707	2631
212	709	2621
213	711	2612
214	712	2600
215	713	2588
216	714	2577
217	715	2565
218	716	2554
219	721	2558
220	723	2550
221	724	2540
222	725	2529
223	726	2518
224	728	2508
225	729	2498
226	730	2487
227	731	2476
228	732	2467
229	735	2461
230	737	2454
231	738	2446
232	741	2439
233	742	2429
234	743	2419
235	744	2409
236	745	2401
237	747	2392
238	750	2388
239	751	2379
240	752	2369
241	753	2360
242	755	2352
243	756	2343
244	757	2333
245	758	2324
246	759	2314
247	760	2305
248	761	2296
249	764	2292
250	765	2283
251	766	2274
252	767	2267
253	769	2260
254	771	2252
255	772	2244
256	773	2236
257	774	2227
258	775	2219
259	777	2212
260	780	2209
261	781	2201
262	782	2194
263	784	2186
264	785	2179
265	787	2172
266	788	2165
267	789	2157
268	790	2148
269	794	2147
270	795	2139
271	796	2131
272	797	2123
273	798	2115
274	799	2107
275	800	2099
276	801	2092
277	802	2084
278	803	2077
279	805	2070
280	806	2063
281	808	2058
282	810	2053
283	811	2045
284	812	2038
285	813	2031
286	814	2023
287	815	2016
288	816	2009
289	817	2002
290	818	1994
291	819	1987
292	820	1981
293	824	1979
294	825	1973
295	826	1966
296	827	1959
297	828	1952
298	830	1945
299	831	1939
300	832	1933
301	833	1926
302	834	1919
303	835	1912
304	836	1907
305	838	1901
306	839	1895
307	840	1889
308	841	1882
309	842	1875
310	843	1869
311	845	1865
312	847	1860
313	848	1854
314	850	1848
315	852	1844
316	854	1842
317	856	1836
318	857	1831
319	859	1825
320	860	1819
321	861	1813
322	862	1806
323	863	1800
324	864	1794
325	865	1788
326	868	1786
327	869	1782
328	871	1776
329	872	1770
330	873	1764
331	874	1758
332	875	1752
333	876	1747
334	877	1741
335	878	1735
336	879	1729
337	880	1723
338	881	1718
339	882	1713
340	884	1708
341	885	1703
342	886	1698
343	887	1693
344	889	1689
345	890	1684
346	892	1678
347	893	1673
348	894	1667
349	895	1662
350	898	1660
351	899	1656
352	900	1651
353	901	1645
354	902	1640
355	903	1635
356	905	1630
357	906	1624
358	906	1619
359	908	1614
360	909	1609
361	910	1604
362	913	1602
363	914	1598
364	915	1593
365	916	1588
366	918	1583
367	918	1578
368	920	1573
369	921	1568
370	922	1563
371	923	1558
372	924	1553
373	925	1549
374	928	1546
375	929	1542
376	930	1537
377	931	1532
378	932	1527
379	933	1522
380	934	1517
381	935	1512
382	936	1508
383	937	1503
384	938	1498
385	939	1493
386	940	1489
387	942	1486
388	944	1483
389	945	1478
390	946	1474
391	947	1469
392	948	1464
393	949	1460
394	950	1456
395	951	1451
396	952	1446
397	953	1442
398	954	1438
399	957	1436
400	959	1433
401	960	1429
402	961	1424
403	962	1420
404	963	1415
405	964	1411
406	965	1406
407	966	1402
408	967	1398
409	968	1393
410	969	1389
411	972	1387
412	973	1383
413	974	1379
414	975	1375
415	976	1371
416	978	1368
417	980	1365
418	981	1361
419	982	1357
420	983	1353
421	984	1349
422	987	1347
423	989	1344
424	991	1340
425	991	1336
426	992	1332
427	993	1328
428	994	1324
429	995	1320
430	996	1316
431	998	1312
432	998	1308
433	999	1304
434	1001	1300
435	1003	1298
436	1004	1294
437	1005	1290
438	1006	1286
439	1007	1282
440	1008	1278
441	1009	1274
442	1010	1270
443	1011	1267
444	1012	1263
445	1014	1259
446	1015	1256
447	1017	1253
448	1018	1249
449	1019	1246
450	1020	1242
451	1021	1238
452	1022	1234
453	1023	1230
454	1024	1227
455	1025	1223
456	1026	1219
457	1027	1216
458	1028	1212
459	1029	1208
460	1031	1206
461	1034	1204
462	1035	1200
463	1036	1196
464	1037	1193
465	1038	1189
466	1039	1186
467	1040	1182
468	1041	1179
469	1042	1175
470	1043	1171
471	1044	1168
472	1046	1166
473	1048	1163
474	1049	1160
475	1050	1156
476	1051	1153
477	1052	1149
478	1053	1145
479	1054	1142
480	1055	1139
481	1056	1135
482	1057	1132
483	1058	1128
484	1059	1125
485	1062	1123
486	1063	1120
487	1064	1116
488	1065	1113
489	1066	1110
490	1067	1106
491	1068	1103
492	1069	1100
493	1071	1097
494	1072	1093
495	1072	1090
496	1074	1086
497	1075	1083
498	1077	1081
499	1078	1078
500	1079	1075
501	1080	1072
502	1082	1069
503	1086	1069
504	1088	1066
505	1089	1063
506	1091	1061
507	1093	1059
508	1094	1055
509	1095	1052
510	1096	1049
511	1097	1046
512	1098	1043
513	1099	1039
514	1100	1036
515	1101	1033
516	1102	1030
517	1103	1027
518	1105	1024
519	1106	1021
520	1107	1018
521	1108	1015
522	1109	1012
523	1111	1009
524	1112	1006
525	1113	1003
526	1114	1000
527	1115	996
528	1116	993
529	1117	990
530	1118	987
531	1120	985
532	1122	983
533	1123	980
534	1124	977
535	1125	974
536	1126	971
537	1127	968
538	1128	965
539	1129	962
540	1130	959
541	1131	956
542	1132	953
543	1134	950
544	1136	949
545	1138	946
546	1139	943
547	1140	941
548	1141	938
549	1142	935
550	1143	932
551	1145	929
552	1146	926
553	1147	923
554	1148	920
555	1149	917
556	1151	915
557	1153	913
558	1154	910
559	1155	907
560	1156	904
561	1157	901
562	1158	898
563	1158	895
564	1160	893
565	1161	890
566	1162	887
567	1163	884
568	1165	882
569	1166	880
570	1167	877
571	1169	874
572	1170	872
573	1172	869
574	1174	867
575	1175	865
576	1176	862
577	1177	859
578	1178	856
579	1181	855
580	1183	853
581	1184	850
582	1185	847
583	1186	845
584	1187	842
585	1188	839
586	1189	836
587	1190	833
588	1191	831
589	1192	828
590	1193	825
591	1195	823
592	1197	821
593	1198	819
594	1199	816
595	1200	813
596	1201	810
597	1202	808
598	1203	805
599	1204	802
600	1205	800
601	1206	797
602	1207	794
603	1208	792
604	1210	790
605	1213	788
606	1214	786
607	1215	783
608	1216	781
609	1217	778
610	1218	776
611	1219	773
612	1220	770
613	1222	768
614	1223	765
615	1226	764
616	1227	762
617	1228	759
618	1229	757
619	1230	754
620	1232	751
621	1233	749
622	1234	746
623	1235	744
624	1236	741
625	1237	739
626	1238	736
627	1239	734
628	1241	732
629	1242	729
630	1243	727
631	1244	724
632	1245	722
633	1246	719
634	1247	717
635	1248	714
636	1249	712
637	1250	709
638	1252	707
639	1253	704
640	1254	702
641	1256	700
642	1257	698
643	1258	695
644	1260	693
645	1262	691
646	1264	689
647	1265	687
648	1266	685
649	1268	682
650	1269	680
651	1271	678
652	1273	676
653	1274	674
654	1276	672
655	1277	669
656	1278	667
657	1279	664
658	1280	662
659	1281	659
660	1282	657
661	1283	655
662	1284	652
663	1286	651
664	1287	648
665	1288	646
666	1289	643
667	1290	641
668	1291	639
669	1292	636
670	1293	634
671	1294	632
672	1295	629
673	1296	627
674	1297	624
675	1298	622
676	1301	620
677	1303	619
678	1304	616
679	1305	614
680	1306	611
681	1307	609
682	1308	607
683	1309	604
684	1310	602
685	1311	600
686	1312	598
687	1313	595
688	1316	594
689	1318	592
690	1319	590
691	1321	588
692	1322	585
693	1323	583
694	1324	581
695	1325	578
696	1326	576
697	1327	574
698	1328	572
699	1330	570
700	1332	568
701	1333	565
702	1334	563
703	1335	561
704	1336	559
705	1337	556
706	1338	554
707	1339	552
708	1340	550
709	1341	547
710	1342	545
711	1343	543
712	1344	541
713	1347	539
714	1348	537
715	1349	535
716	1350	533
717	1351	530
718	1352	528
719	1353	526
720	1354	524
721	1355	522
722	1356	519
723	1357	517
724	1358	515
725	1361	513
726	1362	511
727	1364	509
728	1365	507
729	1366	505
730	1368	503
731	1370	501
732	1371	499
733	1372	497
734	1373	495
735	1374	492
736	1376	491
737	1378	489
738	1379	487
739	1380	485
740	1381	483
741	1382	480
742	1383	478
743	1385	476
744	1386	474
745	1387	472
746	1388	470
747	1389	467
748	1392	466
749	1393	464
750	1394	462
751	1396	460
752	1397	458
753	1398	456
754	1399	454
755	1400	452
756	1401	449
757	1402	447
758	1403	445
759	1406	444
760	1407	442
761	1408	440
762	1409	437
763	1411	435
764	1411	433
765	1413	431
766	1414	429
767	1415	427
768	1416	425
769	1417	423
770	1418	421
771	1420	419
772	1421	417
773	1422	415
774	1423	413
775	1424	411
776	1425	409
777	1426	407
778	1427	405
779	1428	402
780	1429	400
781	1430	398
782	1432	396
783	1433	394
784	1435	393
785	1437	391
786	1438	389
787	1439	387
788	1440	385
789	1441	383
790	1442	381
791	1443	379
792	1444	377
793	1445	375
794	1447	373
795	1450	371
796	1451	369
797	1453	367
798	1454	365
799	1455	363
800	1457	362
801	1459	360
802	1460	358
803	1461	356
804	1462	354
805	1463	352
806	1466	350
807	1467	348
808	1468	346
809	1469	344
810	1470	342
